timestamp,proc_cpu_pct,proc_mem_mb,sys_cpu_pct,sys_mem_pct
2025-10-03T15:24:46,92.6,132.578125,0.0,77.0
2025-10-03T15:24:47,0.6,132.578125,10.8,77.3
2025-10-03T15:24:48,0.0,132.578125,18.4,78.0
2025-10-03T15:24:49,0.0,132.578125,26.0,78.0
2025-10-03T15:24:50,0.0,132.5625,24.2,78.1
2025-10-03T15:24:51,0.0,132.5625,24.2,77.2
2025-10-03T15:24:52,0.1,132.5625,14.8,77.3
2025-10-03T15:24:53,0.1,132.5625,15.3,77.7
2025-10-03T15:24:54,0.0,132.5625,11.5,76.6
2025-10-03T15:24:55,0.0,132.5625,10.3,76.9
2025-10-03T15:24:56,0.0,132.5625,17.4,76.9
2025-10-03T15:24:57,0.0,132.5625,16.8,77.0
2025-10-03T15:24:58,0.0,132.5625,18.2,77.0
2025-10-03T15:24:59,0.5,132.578125,17.3,77.1
2025-10-03T15:25:00,0.0,132.578125,4.3,76.2
2025-10-03T15:25:01,0.0,132.578125,19.3,76.2
2025-10-03T15:25:02,0.0,132.578125,10.6,76.1
2025-10-03T15:25:03,0.0,132.578125,17.5,76.2
2025-10-03T15:25:04,0.0,132.578125,24.1,76.5
2025-10-03T15:25:05,0.0,132.578125,13.7,76.5
2025-10-03T15:25:06,0.0,106.234375,20.4,76.2
2025-10-03T15:25:07,0.0,106.234375,18.1,76.2
2025-10-03T15:25:08,0.1,106.25,9.8,76.0
