timestamp,proc_cpu_pct,proc_mem_mb,sys_cpu_pct,sys_mem_pct
2025-10-03T21:14:42,0.0,116.6640625,10.0,2.9
2025-10-03T21:14:43,98.5,263.48828125,6.5,2.9
2025-10-03T21:14:44,27.1,279.73828125,6.0,2.9
2025-10-03T21:14:45,0.0,279.73828125,5.7,2.9
2025-10-03T21:14:46,0.0,279.73828125,6.1,2.9
2025-10-03T21:14:47,0.0,279.73828125,5.8,3.0
2025-10-03T21:14:48,0.0,279.73828125,5.7,3.0
2025-10-03T21:14:49,2.0,280.98828125,5.8,3.0
2025-10-03T21:14:50,2.0,280.98828125,6.0,3.0
2025-10-03T21:14:51,2.0,282.23828125,5.9,3.0
2025-10-03T21:14:52,12.0,285.12890625,5.9,3.0
2025-10-03T21:14:53,0.0,285.12890625,5.8,3.0
2025-10-03T21:14:54,0.0,285.12890625,5.9,3.0
2025-10-03T21:14:55,0.0,285.12890625,5.8,3.0
2025-10-03T21:14:56,0.0,285.12890625,5.8,3.0
2025-10-03T21:14:57,10.8,286.37890625,5.8,3.0
2025-10-03T21:14:58,30.5,338.01171875,6.1,3.0
2025-10-03T21:14:59,0.0,338.01171875,5.9,3.0
2025-10-03T21:15:00,0.0,338.01171875,5.8,3.0
2025-10-03T21:15:01,0.0,338.01171875,5.7,3.0
2025-10-03T21:15:02,0.0,338.01171875,5.8,3.0
2025-10-03T21:15:03,0.0,338.01171875,5.9,3.0
2025-10-03T21:15:04,1.0,338.01171875,5.7,3.0
2025-10-03T21:15:05,0.0,338.01171875,5.8,3.0
2025-10-03T21:15:06,0.0,338.01171875,5.8,3.0
2025-10-03T21:15:07,0.0,338.01171875,5.9,3.0
2025-10-03T21:15:08,0.0,338.01171875,5.8,3.0
2025-10-03T21:15:09,0.0,338.01171875,5.8,3.0
2025-10-03T21:15:10,0.0,338.01171875,5.7,3.0
2025-10-03T21:15:11,0.0,338.01171875,5.9,3.0
2025-10-03T21:15:12,0.0,338.01171875,5.8,3.0
2025-10-03T21:15:13,0.0,338.01171875,5.7,3.0
2025-10-03T21:15:14,0.0,338.01171875,5.8,3.0
2025-10-03T21:15:15,0.0,338.01171875,5.9,3.0
2025-10-03T21:15:16,6.0,444.234375,5.8,3.0
2025-10-03T21:15:17,20.1,482.8125,5.9,3.0
2025-10-03T21:15:18,0.0,482.8125,5.8,3.0
2025-10-03T21:15:19,0.0,482.8125,5.9,3.0
2025-10-03T21:15:20,1.0,482.8125,5.8,3.0
2025-10-03T21:15:21,0.0,482.8125,5.8,3.0
2025-10-03T21:15:22,0.0,482.8125,5.8,3.0
2025-10-03T21:15:23,0.0,482.8125,5.8,3.0
2025-10-03T21:15:24,1.0,482.8125,5.8,3.0
2025-10-03T21:15:25,0.0,482.8125,5.8,3.0
2025-10-03T21:15:26,0.0,482.8125,5.7,3.0
2025-10-03T21:15:27,0.0,482.8125,6.0,3.0
2025-10-03T21:15:28,0.0,482.8125,5.8,3.0
2025-10-03T21:15:29,0.0,482.8125,5.7,3.0
2025-10-03T21:15:30,1.0,482.8125,5.8,3.0
2025-10-03T21:15:31,0.0,482.8125,6.0,3.0
2025-10-03T21:15:32,0.0,482.8125,5.7,3.0
2025-10-03T21:15:33,0.0,482.8125,5.8,3.0
2025-10-03T21:15:34,1.0,482.8125,5.8,3.0
2025-10-03T21:15:35,0.0,482.8125,5.9,3.0
2025-10-03T21:15:36,0.0,482.8125,5.8,3.0
2025-10-03T21:15:37,2.0,482.8125,5.8,3.0
2025-10-03T21:15:38,0.0,482.8125,5.7,3.0
2025-10-03T21:15:39,0.0,482.8125,5.8,3.0
2025-10-03T21:15:40,0.0,482.8125,5.8,3.0
2025-10-03T21:15:41,0.0,482.8125,5.8,3.0
2025-10-03T21:15:42,0.0,482.8125,5.7,3.0
2025-10-03T21:15:43,1.0,482.8125,5.9,3.0
2025-10-03T21:15:44,0.0,482.8125,5.8,3.0
2025-10-03T21:15:45,0.0,482.8125,5.7,3.0
2025-10-03T21:15:46,0.0,482.8125,5.8,3.0
2025-10-03T21:15:47,0.0,482.8125,5.9,3.0
2025-10-03T21:15:48,1.0,482.8125,5.7,3.0
2025-10-03T21:15:49,0.0,482.8125,5.8,3.0
2025-10-03T21:15:50,0.0,482.8125,5.8,3.0
2025-10-03T21:15:51,1.0,482.8125,6.0,3.0
2025-10-03T21:15:52,0.0,482.8125,5.8,3.0
2025-10-03T21:15:53,0.0,482.8125,5.8,3.0
2025-10-03T21:15:54,1.0,482.8125,5.7,3.0
2025-10-03T21:15:55,0.0,482.8125,5.9,3.0
2025-10-03T21:15:56,0.0,482.8125,5.8,3.0
2025-10-03T21:15:57,0.0,482.8125,5.8,3.0
2025-10-03T21:15:58,0.0,482.8125,5.8,3.0
2025-10-03T21:15:59,1.0,482.8125,5.9,3.0
2025-10-03T21:16:00,0.0,482.8125,5.7,3.0
2025-10-03T21:16:01,1.0,482.8125,5.8,3.0
2025-10-03T21:16:02,0.0,482.8125,5.8,3.0
2025-10-03T21:16:03,0.0,482.8125,5.8,3.0
2025-10-03T21:16:04,0.0,482.8125,5.7,3.0
2025-10-03T21:16:05,1.0,482.8125,5.8,3.0
2025-10-03T21:16:06,0.0,482.8125,5.8,3.0
2025-10-03T21:16:07,0.0,482.8125,5.8,3.0
2025-10-03T21:16:08,1.0,482.8125,5.9,3.0
2025-10-03T21:16:09,0.0,482.8125,5.8,3.0
2025-10-03T21:16:10,0.0,482.8125,5.7,3.0
2025-10-03T21:16:11,0.0,482.8125,5.8,3.0
2025-10-03T21:16:12,1.0,482.8125,5.9,3.0
2025-10-03T21:16:13,0.0,482.8125,5.7,3.0
2025-10-03T21:16:14,0.0,482.8125,5.8,3.0
2025-10-03T21:16:15,1.0,482.8125,5.8,3.0
2025-10-03T21:16:16,0.0,482.8125,5.9,3.0
2025-10-03T21:16:17,0.0,482.8125,5.8,3.0
2025-10-03T21:16:18,0.0,482.8125,5.8,3.0
2025-10-03T21:16:19,0.0,482.8125,5.7,3.0
2025-10-03T21:16:20,0.0,482.8125,5.9,3.0
2025-10-03T21:16:21,0.0,482.8125,5.8,3.0
2025-10-03T21:16:22,1.0,482.8125,5.7,3.0
2025-10-03T21:16:23,0.0,482.8125,5.8,3.0
2025-10-03T21:16:24,0.0,482.8125,5.9,3.0
2025-10-03T21:16:25,1.0,482.8125,5.8,3.0
2025-10-03T21:16:26,0.0,482.8125,5.8,3.0
2025-10-03T21:16:27,0.0,482.8125,5.8,3.0
2025-10-03T21:16:28,0.0,482.8125,5.9,3.0
2025-10-03T21:16:29,1.0,482.8125,5.8,3.0
2025-10-03T21:16:30,0.0,482.8125,5.8,3.0
2025-10-03T21:16:31,0.0,482.8125,5.7,3.0
2025-10-03T21:16:32,1.0,482.8125,5.9,3.0
2025-10-03T21:16:33,0.0,482.8125,5.8,3.0
2025-10-03T21:16:34,0.0,482.8125,5.8,3.0
2025-10-03T21:16:35,1.0,482.8125,5.7,3.0
2025-10-03T21:16:36,0.0,482.8125,5.9,3.0
2025-10-03T21:16:37,0.0,482.8125,5.8,3.0
2025-10-03T21:16:38,0.0,482.8125,5.7,3.0
2025-10-03T21:16:39,1.0,482.8125,5.9,3.0
2025-10-03T21:16:40,0.0,482.8125,5.9,3.0
2025-10-03T21:16:41,0.0,482.8125,5.7,3.0
2025-10-03T21:16:42,16.6,548.64453125,5.9,3.0
2025-10-03T21:16:43,39.9,567.81640625,6.1,3.0
2025-10-03T21:16:44,0.0,567.81640625,6.1,3.0
2025-10-03T21:16:45,0.0,567.81640625,5.8,3.0
2025-10-03T21:16:46,0.0,567.81640625,5.8,3.0
2025-10-03T21:16:47,0.0,567.81640625,5.7,3.0
2025-10-03T21:16:48,2.0,567.81640625,5.9,3.0
2025-10-03T21:16:49,0.0,567.81640625,5.8,3.0
2025-10-03T21:16:50,0.0,567.81640625,5.8,3.0
2025-10-03T21:16:51,0.0,567.81640625,5.9,3.0
2025-10-03T21:16:52,0.0,567.81640625,6.0,3.0
2025-10-03T21:16:53,0.0,567.81640625,5.7,3.0
2025-10-03T21:16:54,1.0,567.81640625,5.8,3.0
2025-10-03T21:16:55,0.0,567.81640625,5.8,3.0
2025-10-03T21:16:56,0.0,567.81640625,5.9,3.0
2025-10-03T21:16:57,0.0,567.81640625,5.8,3.0
2025-10-03T21:16:58,0.0,567.81640625,5.8,3.0
2025-10-03T21:16:59,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:00,1.0,567.81640625,5.8,3.0
2025-10-03T21:17:01,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:02,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:03,0.0,567.81640625,5.7,3.0
2025-10-03T21:17:04,0.0,567.81640625,5.9,3.0
2025-10-03T21:17:05,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:06,0.0,567.81640625,5.7,3.0
2025-10-03T21:17:07,1.0,567.81640625,5.8,3.0
2025-10-03T21:17:08,0.0,567.81640625,5.9,3.0
2025-10-03T21:17:09,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:10,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:11,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:12,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:13,2.0,567.81640625,5.9,3.0
2025-10-03T21:17:14,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:15,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:16,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:17,0.0,567.81640625,5.9,3.0
2025-10-03T21:17:18,0.0,567.81640625,5.7,3.0
2025-10-03T21:17:19,0.0,567.81640625,5.7,3.0
2025-10-03T21:17:20,1.0,567.81640625,5.8,3.0
2025-10-03T21:17:21,0.0,567.81640625,5.9,3.0
2025-10-03T21:17:22,0.0,567.81640625,5.7,3.0
2025-10-03T21:17:23,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:24,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:25,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:26,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:27,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:28,2.0,567.81640625,5.7,3.0
2025-10-03T21:17:29,0.0,567.81640625,5.9,3.0
2025-10-03T21:17:30,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:31,0.0,567.81640625,5.7,3.0
2025-10-03T21:17:32,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:33,0.0,567.81640625,5.9,3.0
2025-10-03T21:17:34,1.0,567.81640625,5.7,3.0
2025-10-03T21:17:35,0.0,567.81640625,5.7,3.0
2025-10-03T21:17:36,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:37,0.0,567.81640625,5.9,3.0
2025-10-03T21:17:38,0.0,567.81640625,5.7,3.0
2025-10-03T21:17:39,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:40,0.0,567.81640625,5.7,3.0
2025-10-03T21:17:41,0.0,567.81640625,5.9,3.0
2025-10-03T21:17:42,1.0,567.81640625,5.8,3.0
2025-10-03T21:17:43,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:44,0.0,567.81640625,5.7,3.0
2025-10-03T21:17:45,0.0,567.81640625,5.9,3.0
2025-10-03T21:17:46,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:47,1.0,567.81640625,5.7,3.0
2025-10-03T21:17:48,0.0,567.81640625,5.8,3.0
2025-10-03T21:17:49,1.0,567.81640625,5.9,3.0
2025-10-03T21:17:50,0.0,567.81640625,5.7,3.0
2025-10-03T21:17:51,0.0,567.81640625,5.9,3.0
